news_url,image_url,title,text,source_name,date,topics,sentiment,type,tickers
https://www.cnet.com/news/facebook-owes-9b-in-taxes-related-to-ireland-deal-irs-says/,https://cdn.snapi.dev/images/v1/f/a/facebook-logo-money-1.jpg,"Facebook owes $9B in taxes related to Ireland deal, IRS says",Tax agency says social network undervalued intellectual property sold to subsidiary in 2010.,CNET,"Wed, 19 Feb 2020 22:23:50 -0500",,Negative,Article,FB
https://www.youtube.com/watch?v=X64xorZE7Ys,https://cdn.snapi.dev/images/v1/m/q/barr-takes-aim-at-google-facebook-shield.jpg,"Barr Takes Aim at Google, Facebook Shield",Section 230 of the Legal Communications Decency Act shields companies from lawsuits over user-generated content. U.S. Attorney General William Barr is studying ways to amend that rule. Bloomberg's Ben Brody reports.,Bloomberg Technology,"Wed, 19 Feb 2020 18:55:02 -0500",,Negative,Video,"FB,GOOG,GOOGL"
https://seekingalpha.com/article/4325387-facebook-terrific-bargain-cheap-stock-dont-miss,https://cdn.snapi.dev/images/v1/u/w/gettyimages-1146342188.jpg,"Facebook: Terrific Bargain, Cheap Stock, Don't Miss It","Facebook: Terrific Bargain, Cheap Stock, Don't Miss It",Seeking Alpha,"Wed, 19 Feb 2020 16:08:32 -0500",,Positive,Article,FB
https://www.reuters.com/article/us-internet-regulation-justice/should-facebook-google-be-liable-for-user-posts-asks-u-s-attorney-general-barr-idUSKBN20D26S,https://cdn.snapi.dev/images/v1/m/0/m02d20200219t2i1492514103rlynxmpeg1i1gyw640.jpg,"Should Facebook, Google be liable for user posts? asks U.S. Attorney General Barr","U.S. Attorney General William Barr on Wednesday questioned whether Facebook, Google and other major online platforms still need the immunity from legal liability that has prevented them from being sued over material their users post.",Reuters,"Wed, 19 Feb 2020 14:09:49 -0500",,Neutral,Article,"FB,GOOG,GOOGL"
https://seekingalpha.com/article/4325283-facebook-is-not-done-yet,https://cdn.snapi.dev/images/v1/t/w/facebook.jpg,Facebook Is Not Done Yet,Facebook Is Not Done Yet,Seeking Alpha,"Wed, 19 Feb 2020 13:27:41 -0500",,Positive,Article,FB
https://www.youtube.com/watch?v=g48bMTAA95U,https://cdn.snapi.dev/images/v1/m/q/facebook-and-youtube-need-to-be-more-aggressive-about-false-information-says-former-twitter-ceo.jpg,"Facebook and YouTube need to be more aggressive about false information, says former Twitter CEO","Dick Costolo, former Twitter CEO and Index Ventures partner, joins 'Squawk Alley' to discuss new European Unions rules and Tesla.",CNBC Television,"Wed, 19 Feb 2020 12:16:18 -0500",CEO,Negative,Video,"FB,GOOG,GOOGL"
https://www.youtube.com/watch?v=VyGBU2nUCWM,https://cdn.snapi.dev/images/v1/r/f/rfe21111r-1.jpg,Here's how the EU plans to regulate artificial intelligance,The European Union is launching its plan to regulate artificial intelligence.,CNBC Television,"Wed, 19 Feb 2020 12:05:37 -0500",,Neutral,Video,FB
https://investorplace.com/2020/02/user-growth-fb-stock-bulletproof/,https://cdn.snapi.dev/images/v1/c/l/m02d20190602t2i1393636452rlynxnpef510u5w640.jpg,Continued User Growth Makes FB Stock Bulletproof,"It’s tough to argue against the long-term opportunity in FB stock. With strong user growth, I believe the long-term growth story is intact.",InvestorPlace,"Wed, 19 Feb 2020 08:30:49 -0500",,Positive,Article,FB
https://www.marketwatch.com/story/europe-unveils-new-digital-strategy-that-will-restrict-tech-giants-and-hurt-facebook-google-owner-alphabet-and-amazon-2020-02-19,https://cdn.snapi.dev/images/v1/m/w/mw-ia466-margre-20200219081909-zh.jpg,"Europe unveils new digital strategy that will restrict tech giants and hurt Facebook, Google owner Alphabet, and Amazon","FB, +1.69% FB, +1.69%",Market Watch,"Wed, 19 Feb 2020 08:29:21 -0500",,Negative,Article,"AMZN,FB,GOOG,GOOGL"
https://www.fool.com/investing/2020/02/19/facebooks-copycat-app-hobbi-isnt-threat-pinterest.aspx,https://cdn.snapi.dev/images/v1/s/c/screenshot-24.jpg,Facebook’s Copycat App Hobbi Isn’t a Threat to Pinterest -- It’s a Vote of Confidence,The world’s biggest social network clones another growing app.,The Motley Fool,"Wed, 19 Feb 2020 08:05:00 -0500",,Neutral,Article,FB
https://www.cnbc.com/2020/02/19/what-is-section-230-and-why-do-some-people-want-to-change-it.html,https://cdn.snapi.dev/images/v1/z/c/74.jpg,An old law that protects companies like Facebook from liability over user posts is drawing new scrutiny,The U.S. Justice Department is hosting a workshop Wednesday to examine the scope of a controversial law known as Section 230.,CNBC,"Wed, 19 Feb 2020 07:40:04 -0500",,Negative,Article,FB
https://www.fool.com/investing/2020/02/19/money-managers-surprisingly-sold-these-5-stocks-in.aspx,https://cdn.snapi.dev/images/v1/l/e/faamh23-1.jpg,Money Managers Surprisingly Sold These 5 Stocks in the Fourth Quarter,"Institutional investors dumped the FAANG stocks in Q4, but will likely regret their decisions.",The Motley Fool,"Wed, 19 Feb 2020 06:51:00 -0500",earnings,Negative,Article,"AAPL,AMZN,FB,GOOG,GOOGL,NFLX"
https://techcrunch.com/2020/02/19/facebook-backs-indian-education-startup-unacademy/,https://cdn.snapi.dev/images/v1/g/e/gettyimages-803843474-2jpgw598.jpg,Facebook backs Indian education startup Unacademy,"Unacademy, one of India’s fastest growing education startups, has just received the backing of a major technology giant: Facebook.",TechCrunch,"Wed, 19 Feb 2020 03:54:20 -0500",,Positive,Article,FB
